,Country Name,Country Code,Gender,Atrybut,Wartość,Year,Country,Continent,Continent_Gender
168,Albania,ALB,Female,2000,1557540,2000,Albania,Europe,Europe-Female
169,Albania,ALB,Female,2001,1543533,2001,Albania,Europe,Europe-Female
170,Albania,ALB,Female,2002,1538490,2002,Albania,Europe,Europe-Female
171,Albania,ALB,Female,2003,1531532,2003,Albania,Europe,Europe-Female
172,Albania,ALB,Female,2004,1523393,2004,Albania,Europe,Europe-Female
173,Albania,ALB,Female,2005,1513578,2005,Albania,Europe,Europe-Female
174,Albania,ALB,Female,2006,1501918,2006,Albania,Europe,Europe-Female
175,Albania,ALB,Female,2007,1488396,2007,Albania,Europe,Europe-Female
176,Albania,ALB,Female,2008,1474838,2008,Albania,Europe,Europe-Female
177,Albania,ALB,Female,2009,1462978,2009,Albania,Europe,Europe-Female
178,Albania,ALB,Female,2010,1454108,2010,Albania,Europe,Europe-Female
179,Albania,ALB,Female,2011,1449024,2011,Albania,Europe,Europe-Female
180,Albania,ALB,Female,2012,1445914,2012,Albania,Europe,Europe-Female
181,Albania,ALB,Female,2013,1442931,2013,Albania,Europe,Europe-Female
182,Albania,ALB,Female,2014,1439863,2014,Albania,Europe,Europe-Female
183,Albania,ALB,Female,2015,1435812,2015,Albania,Europe,Europe-Female
184,Albania,ALB,Female,2016,1433925,2016,Albania,Europe,Europe-Female
185,Albania,ALB,Female,2017,1433238,2017,Albania,Europe,Europe-Female
186,Albania,ALB,Female,2018,1430495,2018,Albania,Europe,Europe-Female
187,Albania,ALB,Female,2019,1425364,2019,Albania,Europe,Europe-Female
188,Albania,ALB,Female,2020,1418585,2020,Albania,Europe,Europe-Female
189,Albania,ALB,Female,2021,1407212,2021,Albania,Europe,Europe-Female
190,Albania,ALB,Female,2022,1392115,2022,Albania,Europe,Europe-Female
191,Albania,ALB,Female,2023,1378159,2023,Albania,Europe,Europe-Female
232,Andorra,AND,Female,2000,31812,2000,Andorra,Europe,Europe-Female
233,Andorra,AND,Female,2001,32669,2001,Andorra,Europe,Europe-Female
234,Andorra,AND,Female,2002,34076,2002,Andorra,Europe,Europe-Female
235,Andorra,AND,Female,2003,35478,2003,Andorra,Europe,Europe-Female
236,Andorra,AND,Female,2004,36852,2004,Andorra,Europe,Europe-Female
237,Andorra,AND,Female,2005,38147,2005,Andorra,Europe,Europe-Female
238,Andorra,AND,Female,2006,38392,2006,Andorra,Europe,Europe-Female
239,Andorra,AND,Female,2007,37633,2007,Andorra,Europe,Europe-Female
240,Andorra,AND,Female,2008,36864,2008,Andorra,Europe,Europe-Female
241,Andorra,AND,Female,2009,36065,2009,Andorra,Europe,Europe-Female
242,Andorra,AND,Female,2010,35212,2010,Andorra,Europe,Europe-Female
243,Andorra,AND,Female,2011,34895,2011,Andorra,Europe,Europe-Female
244,Andorra,AND,Female,2012,35127,2012,Andorra,Europe,Europe-Female
245,Andorra,AND,Female,2013,35324,2013,Andorra,Europe,Europe-Female
246,Andorra,AND,Female,2014,35473,2014,Andorra,Europe,Europe-Female
247,Andorra,AND,Female,2015,35557,2015,Andorra,Europe,Europe-Female
248,Andorra,AND,Female,2016,35913,2016,Andorra,Europe,Europe-Female
249,Andorra,AND,Female,2017,36456,2017,Andorra,Europe,Europe-Female
250,Andorra,AND,Female,2018,36943,2018,Andorra,Europe,Europe-Female
251,Andorra,AND,Female,2019,37502,2019,Andorra,Europe,Europe-Female
252,Andorra,AND,Female,2020,38084,2020,Andorra,Europe,Europe-Female
253,Andorra,AND,Female,2021,38673,2021,Andorra,Europe,Europe-Female
